"Comment","Designator","Footprint","LCSC Part #"
"100nF-50V-0603","C3,C2","C_0603_1608Metric","C14663"
"10uF-25V-0805","C4,C1","C_0805_2012Metric","C15850"
"100nF-16V-0402","C5,C8,C9","C_0402_1005Metric","C1525"
"10nF-50V-0402","C7,C6","C_0402_1005Metric","C15195"
"BLUE_LED","D1","D_0603_1608Metric","C72041"
"Q_NPN_S9013","Q5,Q6","SOT-23","C6749"
"100Ohms-±1%-1_16W-0402","R11,R1,R3,R2,R6,R5,R9,R8","R_0402_1005Metric","C25076"
"10KOhms-±1%-1_16W-0402","R12,R16,R17,R19","R_0402_1005Metric","C25744"
"39KOhms-±1%-1_16W-0402","R13,R4,R7,R10","R_0402_1005Metric","C25783"
"47Ohms-±1%-1_16W-0402","R14","R_0402_1005Metric","C25118"
"1KOhms-±1%-1_16W-0402","R15,R18","R_0402_1005Metric","C11702"
"SW-Tactile-4.5x4.5_7mm","SW1","SMT-SW-SPST-4.5x4.5_plain","C480315"
"ESP32-WROOM-32D","U1","ESP32-WROOM-32","C473012"
"EL817S1","U4,U2,U3,U5","SMD-4_4.6x6.5x2.54P","C106900"
"XC6206-vreg","U6","SOT-23","C5446"
